ParticleID, ParticleColour, FrameNumberOnEnter, FrameNumberOnExit, xPosAtEnter, xPosAtExit, 
175, white,1383, 1397, 253, 260
176, white,1393, 1410, 694, 696
177, white,1394, 1411, 469, 461
178, white,1427, 1442, 617, 617
179, white,1428, 1444, 270, 263
180, white,1431, 1445, 385, 387
181, white,1433, 1448, 242, 221
182, white,1457, 1474, 246, 226
183, white,1493, 1508, 770, 773
184, black,1499, 1513, 501, 496
185, white,1510, 1526, 661, 682
188, white,1513, 1526, 348, 340
186, white,1510, 1527, 563, 563
187, white,1512, 1527, 376, 380
189, white,1535, 1552, 274, 230
190, black,1579, 1595, 315, 325
191, white,1583, 1599, 396, 375
192, white,1592, 1605, 374, 373
193, white,1610, 1619, 607, 607
194, black,1620, 1637, 395, 398
195, white,1641, 1656, 290, 270
196, black,1644, 1659, 501, 501
197, white,1658, 1674, 466, 445
198, white,1675, 1691, 221, 192
199, white,1702, 1717, 351, 373
200, white,1704, 1721, 370, 381
201, white,1720, 1735, 533, 540
202, white,1724, 1739, 465, 450
203, white,1726, 1741, 580, 603
204, white,1730, 1745, 142, 142
206, white,1733, 1749, 406, 404
205, white,1731, 1753, 435, 388
207, white,1738, 1753, 405, 387
208, white,1768, 1782, 314, 309
209, white,1778, 1794, 277, 278
210, white,1808, 1823, 277, 296
211, white,1823, 1842, 356, 363
212, white,1841, 1856, 280, 253
213, white,1871, 1881, 389, 389
214, white,1881, 1884, 390, 390
215, white,1905, 1920, 370, 366
216, white,1919, 1934, 258, 235
217, white,1967, 1984, 826, 829
218, white,2028, 2045, 304, 307
219, white,2073, 2089, 458, 450
220, white,2078, 2094, 266, 251
221, black,2087, 2097, 396, 403
222, white,2099, 2115, 463, 459
223, white,2102, 2118, 360, 349
224, white,2112, 2119, 359, 345
226, white,2131, 2143, 211, 217
225, white,2130, 2146, 229, 212
227, white,2145, 2160, 432, 428
228, white,2173, 2189, 369, 378
229, white,2190, 2204, 284, 282
230, white,2461, 2478, 425, 425
231, white,2546, 2563, 314, 321
233, white,2579, 2586, 679, 681
232, white,2571, 2589, 663, 642
234, white,2622, 2639, 335, 323
235, white,2663, 2680, 713, 722
236, white,2666, 2684, 445, 446
237, white,2682, 2701, 316, 301
238, white,2710, 2726, 388, 362
239, white,2744, 2760, 311, 317
240, white,2754, 2769, 537, 537
241, black,2984, 2999, 363, 356
242, white,3028, 3045, 437, 447
243, white,3359, 3374, 506, 505
244, white,3743, 3758, 761, 763
245, white,4112, 4127, 280, 263
