ParticleID, ParticleColour, FrameNumberOnEnter, FrameNumberOnExit, xPosAtEnter, xPosAtExit, 
175, white,1392, 1410, 692, 694
176, white,1426, 1442, 615, 622
177, white,1430, 1446, 391, 384
178, white,1427, 1449, 268, 222
179, white,1432, 1449, 239, 198
180, white,1457, 1474, 241, 225
181, white,1492, 1508, 764, 767
182, black,1498, 1514, 497, 495
183, white,1509, 1526, 665, 672
184, white,1509, 1527, 565, 559
185, white,1512, 1527, 342, 335
186, white,1511, 1528, 384, 381
187, white,1535, 1552, 264, 248
188, black,1579, 1597, 321, 313
189, white,1582, 1599, 390, 373
190, white,1591, 1605, 373, 375
191, white,1608, 1624, 605, 606
192, black,1619, 1637, 398, 399
193, white,1641, 1656, 282, 274
194, black,1644, 1659, 508, 504
195, white,1658, 1674, 460, 450
196, white,1667, 1681, 484, 472
197, white,1674, 1691, 207, 188
198, white,1701, 1716, 355, 340
199, white,1719, 1735, 534, 534
200, white,1724, 1739, 457, 451
201, white,1725, 1741, 584, 599
202, white,1730, 1745, 135, 117
203, white,1731, 1747, 443, 445
204, white,1733, 1749, 403, 401
205, white,1738, 1753, 388, 391
206, white,1768, 1783, 304, 298
207, white,1777, 1794, 279, 274
208, white,1808, 1824, 292, 291
209, white,1823, 1838, 346, 339
210, white,1841, 1856, 271, 256
211, white,1870, 1884, 391, 382
212, white,1905, 1920, 371, 369
213, white,1918, 1934, 257, 237
214, white,1967, 1984, 825, 831
215, white,2028, 2045, 309, 302
216, white,2073, 2089, 452, 453
217, white,2078, 2094, 258, 250
218, black,2087, 2102, 396, 387
219, white,2099, 2115, 459, 457
220, white,2101, 2119, 357, 347
221, white,2129, 2144, 223, 193
222, white,2144, 2160, 432, 416
223, white,2173, 2189, 375, 373
224, white,2190, 2204, 292, 283
225, white,2461, 2478, 426, 423
226, white,2546, 2563, 318, 309
227, white,2571, 2587, 665, 670
228, white,2582, 2598, 388, 387
229, white,2621, 2639, 330, 319
230, white,2663, 2679, 718, 731
231, white,2665, 2685, 448, 440
232, white,2682, 2701, 310, 296
233, white,2710, 2727, 373, 360
234, white,2743, 2760, 315, 311
235, white,2753, 2769, 535, 533
236, black,2983, 3000, 361, 431
237, white,3028, 3045, 444, 446
238, white,3359, 3374, 500, 498
239, white,3743, 3759, 752, 736
240, white,4112, 4127, 276, 264
